HomeTeamHomeForm,HomeTeamForm,HomeTeamSeasonWinPerc,AwayTeamAwayForm,AwayTeamForm,AwayTeamSeasonWinPerc,HomeElo,AwayElo,HomeGoals,AwayGoals
0.3333333333333333,0.6,0.7272727272727273,0.3333333333333333,0.8,0.5555555555555556,1850.08166504,1711.28283691,1,1
0.3333333333333333,0.2,0.3,0.0,0.4,0.2222222222222222,1611.33276367,1687.21630859,0,0
0.3333333333333333,0.4,0.4,0.0,0.2,0.1111111111111111,1660.84716797,1618.81433105,1,2
0.3333333333333333,0.2,0.4,0.3333333333333333,0.6,0.2,1625.47961426,1697.38049316,0,2
0.6666666666666666,0.6,0.36363636363636365,0.6666666666666666,0.6,0.3,1618.08496094,1624.84094238,1,1
0.3333333333333333,0.2,0.5555555555555556,0.0,0.4,0.18181818181818182,1702.90332031,1585.96496582,2,0
0.0,0.0,0.3,0.0,0.0,0.0,1560.85986328,1596.62426758,3,1
0.6666666666666666,0.2,0.18181818181818182,0.0,0.4,0.3,1515.32678223,1723.39257812,0,4
0.0,0.2,0.3,0.0,0.2,0.45454545454545453,1668.38330078,1718.72277832,1,3
0.0,0.0,0.3,0.6666666666666666,0.4,0.4,1596.62426758,1683.36303711,1,0
0.6666666666666666,0.2,0.6363636363636364,0.3333333333333333,0.4,0.3,1687.43444824,1649.61206055,1,1
0.3333333333333333,0.2,0.2,0.3333333333333333,0.2,0.09090909090909091,1627.06433105,1560.85986328,1,1
0.3333333333333333,0.4,0.45454545454545453,0.3333333333333333,0.2,0.2727272727272727,1624.84094238,1668.38330078,1,3
0.6666666666666666,0.4,0.5454545454545454,0.0,0.0,0.0,1733.13061523,1611.11450195,3,0
1.0,0.6,0.5454545454545454,0.0,0.2,0.2727272727272727,1716.93005371,1613.97583008,2,0
1.0,0.6,0.8,0.3333333333333333,0.4,0.36363636363636365,1717.97338867,1707.81408691,1,1
0.3333333333333333,0.4,0.375,0.0,0.0,0.36363636363636365,1730.86376953,1694.62304688,1,2
0.6666666666666666,0.2,0.2,0.6666666666666666,0.4,0.8,1581.05419922,1844.43444824,2,5
1.0,0.6,0.36363636363636365,0.0,0.2,0.0,1708.88427734,1505.58886719,3,3
0.0,0.2,0.4,0.3333333333333333,0.8,0.5,1705.73596191,1722.44262695,0,1
0.3333333333333333,0.0,0.36363636363636365,0.3333333333333333,0.2,0.2727272727272727,1608.46325684,1614.0793457,0,1
0.3333333333333333,0.4,0.3333333333333333,0.0,0.2,0.2,1615.93737793,1684.21020508,1,2
0.3333333333333333,0.6,0.6666666666666666,0.3333333333333333,0.4,0.25,1850.60913086,1715.46850586,0,0
0.3333333333333333,0.4,0.5454545454545454,0.0,0.2,0.18181818181818182,1675.0057373,1623.36474609,2,0
0.3333333333333333,0.4,0.6,0.3333333333333333,0.4,0.2727272727272727,1710.31896973,1702.17834473,1,2
0.0,0.0,0.2727272727272727,0.0,0.2,0.16666666666666666,1604.74951172,1574.87963867,2,1
0.3333333333333333,0.2,0.36363636363636365,0.3333333333333333,0.4,0.5,1574.17053223,1719.75085449,0,1
0.3333333333333333,0.2,0.16666666666666666,0.0,0.2,0.0,1512.2947998,1595.3704834,1,3
0.0,0.4,0.2727272727272727,0.3333333333333333,0.4,0.2,1669.15148926,1630.04943848,1,2
0.3333333333333333,0.4,0.36363636363636365,0.3333333333333333,0.6,0.36363636363636365,1652.83630371,1739.49560547,0,3
0.6666666666666666,0.8,0.5833333333333334,0.3333333333333333,0.4,0.3333333333333333,1753.00524902,1700.19628906,0,0
0.3333333333333333,0.4,0.36363636363636365,0.0,0.0,0.25,1606.23400879,1598.41894531,4,2
0.3333333333333333,0.6,0.36363636363636365,0.0,0.2,0.0,1641.0802002,1501.43127441,1,1
0.6666666666666666,0.6,0.3333333333333333,0.6666666666666666,0.4,0.3333333333333333,1712.30102539,1658.12072754,1,0
0.3333333333333333,0.4,0.4166666666666667,0.0,0.2,0.0,1624.12353516,1610.02832031,0,0
0.3333333333333333,0.2,0.5833333333333334,0.6666666666666666,0.4,0.8181818181818182,1692.4173584,1845.12841797,3,3
0.3333333333333333,0.6,0.3333333333333333,0.6666666666666666,0.4,0.36363636363636365,1725.8157959,1681.84790039,1,2
0.0,0.2,0.36363636363636365,0.3333333333333333,0.2,0.3333333333333333,1695.97070312,1621.55078125,3,1
0.0,0.0,0.3333333333333333,0.0,0.2,0.0,1589.95324707,1506.97424316,6,2
0.6666666666666666,0.2,0.7272727272727273,0.3333333333333333,0.4,0.3,1720.94934082,1607.73022461,0,0
0.3333333333333333,0.2,0.18181818181818182,0.6666666666666666,0.6,0.4166666666666667,1616.52258301,1749.42504883,0,0
0.3333333333333333,0.4,0.3,0.3333333333333333,0.6,0.09090909090909091,1714.80651855,1614.69970703,1,1
0.3333333333333333,0.0,0.18181818181818182,0.3333333333333333,0.2,0.2727272727272727,1569.60083008,1694.4864502,0,3
0.3333333333333333,0.2,0.3333333333333333,0.6666666666666666,0.8,0.5454545454545454,1612.60107422,1732.20788574,1,2
0.3333333333333333,0.2,0.3333333333333333,0.6666666666666666,0.4,0.2727272727272727,1568.10559082,1635.53723145,1,0
